OTU,Kingdom,Phylum,Class,Order,Family,Genus
OTU_2,Bacteria(100.0),Firmicutes(100.0),Bacilli(99.6),Bacillales(99.4),Bacillaceae_1(98.5),Bacillus(98.3)
OTU_7,Bacteria(100.0),Proteobacteria(100.0),Betaproteobacteria(98.0),Burkholderiales(98.0),Comamonadaceae(94.9),Variovorax(86.9)
OTU_6,Bacteria(100.0),Firmicutes(100.0),Bacilli(99.7),Bacillales(99.6),Paenibacillaceae_1(99.5),Brevibacillus(99.5)
OTU_11,Bacteria(100.0),Bacteroidetes(100.0),Sphingobacteria(99.9),Sphingobacteriales(99.9),Chitinophagaceae(99.8),Flavitalea(99.7)
OTU_1,Bacteria(100.0),Firmicutes(100.0),Clostridia(89.2),Clostridiales(76.0),Clostridiales_Incertae_Sedis_XVIII(66.1),Symbiobacterium(53.2)
OTU_4,Bacteria(100.0),Firmicutes(100.0),Bacilli(99.2),Bacillales(99.2),Alicyclobacillaceae(99.2),Tumebacillus(99.2)
OTU_5,Bacteria(100.0),Firmicutes(99.9),Clostridia(90.2),Clostridiales(77.1),Clostridiales_Incertae_Sedis_XVIII(67.7),Symbiobacterium(53.2)
OTU_3,Bacteria(100.0),Gemmatimonadetes(97.6),Gemmatimonadetes(69.5),Gemmatimonadales(57.7),Gemmatimonadaceae(45.2),Gemmatimonas(44.9)
OTU_9,Bacteria(100.0),Proteobacteria(98.7),Deltaproteobacteria(64.6),Desulfobacterales(54.4),Desulfobacteraceae(43.1),Desulfonema(43.1)
OTU_10,Bacteria(100.0),Proteobacteria(100.0),Alphaproteobacteria(98.7),Sphingomonadales(97.8),Sphingomonadaceae(96.4),Sphingomonas(89.1)
OTU_8,Bacteria(100.0),Firmicutes(100.0),Clostridia(89.6),Clostridiales(85.8),Clostridiaceae_1(74.2),Anaerobacter(51.2)
OTU_14,Bacteria(100.0),Firmicutes(100.0),Bacilli(99.6),Bacillales(99.5),Bacillaceae_1(98.6),Bacillus(98.6)
OTU_16,Bacteria(100.0),Bacteroidetes(100.0),Sphingobacteria(99.7),Sphingobacteriales(99.6),Chitinophagaceae(99.6),Flavisolibacter(98.7)
OTU_12,Bacteria(100.0),Proteobacteria(63.0),Gammaproteobacteria(34.5),Aeromonadales(34.5),Succinivibrionaceae(34.5),Succinatimonas(34.5)
OTU_13,Bacteria(100.0),Proteobacteria(100.0),Alphaproteobacteria(94.5),Rhizobiales(94.2),Xanthobacteraceae(90.2),Pseudolabrys(72.5)
OTU_15,Bacteria(100.0),Proteobacteria(100.0),Deltaproteobacteria(100.0),Myxococcales(100.0),Cystobacteraceae(98.7),Archangium(98.7)
OTU_22,Bacteria(100.0),Firmicutes(100.0),Bacilli(99.7),Bacillales(99.6),Paenibacillaceae_1(99.5),Brevibacillus(99.5)
OTU_23,Bacteria(100.0),Firmicutes(100.0),Clostridia(90.2),Clostridiales(87.4),Clostridiales_Incertae_Sedis_XVIII(81.2),Symbiobacterium(61.9)
OTU_18,Bacteria(100.0),Firmicutes(100.0),Clostridia(97.3),Clostridiales(97.3),Clostridiaceae_1(92.4),Anaerobacter(70.9)
OTU_19,Bacteria(100.0),Verrucomicrobia(99.4),Verrucomicrobiae(68.4),Verrucomicrobiales(56.8),Verrucomicrobiaceae(44.7),Prosthecobacter(44.6)
OTU_20,Bacteria(100.0),Firmicutes(100.0),Bacilli(99.6),Bacillales(99.5),Paenibacillaceae_2(98.7),Aneurinibacillus(98.7)
OTU_26,Bacteria(100.0),Firmicutes(100.0),Bacilli(98.4),Bacillales(98.4),Paenibacillaceae_2(96.7),Ammoniphilus(82.2)
OTU_21,Bacteria(100.0),Proteobacteria(100.0),Betaproteobacteria(98.2),Rhodocyclales(97.8),Rhodocyclaceae(96.4),Ferribacterium(85.8)
OTU_17,Bacteria(100.0),Verrucomicrobia(81.5),Verrucomicrobiae(59.4),Verrucomicrobiales(52.1),Verrucomicrobiaceae(41.9),Prosthecobacter(41.9)
OTU_30,Bacteria(100.0),Verrucomicrobia(100.0),Opitutae(92.9),Opitutales(83.9),Opitutaceae(75.8),Opitutus(54.0)
OTU_24,Bacteria(100.0),Proteobacteria(78.7),Gammaproteobacteria(50.5),Chromatiales(50.2),Chromatiaceae(41.3),Thiodictyon(41.3)
OTU_31,Bacteria(100.0),Proteobacteria(100.0),Betaproteobacteria(99.0),Burkholderiales(99.0),Burkholderiales_incertae_sedis(97.9),Xylophilus(97.1)
OTU_29,Bacteria(100.0),Proteobacteria(99.9),Deltaproteobacteria(90.2),Bdellovibrionales(87.4),Bdellovibrionaceae(82.6),Vampirovibrio(63.1)
OTU_28,Bacteria(100.0),Verrucomicrobia(100.0),Opitutae(96.8),Opitutales(96.8),Opitutaceae(95.9),Opitutus(85.8)
OTU_27,Bacteria(100.0),Firmicutes(96.6),Clostridia(66.1),Clostridiales(55.0),Clostridiales_Incertae_Sedis_XVII(43.6),Thermaerobacter(43.6)
OTU_25,Bacteria(100.0),Firmicutes(100.0),Bacilli(99.5),Bacillales(99.4),Paenibacillaceae_1(98.8),Cohnella(98.8)
OTU_34,Bacteria(100.0),Proteobacteria(100.0),Alphaproteobacteria(99.3),Caulobacterales(99.3),Caulobacteraceae(99.3),Brevundimonas(99.3)
OTU_32,Bacteria(100.0),Firmicutes(81.5),Clostridia(54.9),Thermoanaerobacterales(52.1),Thermodesulfobiaceae(41.9),Thermodesulfobium(41.9)
OTU_36,Bacteria(100.0),Verrucomicrobia(96.6),Verrucomicrobiae(67.3),Verrucomicrobiales(55.8),Verrucomicrobiaceae(41.6),Prosthecobacter(41.6)
OTU_37,Bacteria(100.0),Fibrobacteres(97.6),Fibrobacteria(69.5),Fibrobacterales(57.7),Fibrobacteraceae(45.2),Fibrobacter(44.9)
OTU_35,Bacteria(100.0),Firmicutes(99.8),Negativicutes(71.0),Selenomonadales(58.6),Veillonellaceae(46.0),Desulfosporomusa(45.4)
OTU_33,Bacteria(100.0),Proteobacteria(100.0),Deltaproteobacteria(94.7),Myxococcales(94.0),Polyangiaceae(81.2),Chondromyces(57.5)
OTU_39,Bacteria(100.0),Firmicutes(100.0),Bacilli(99.3),Bacillales(99.3),Alicyclobacillaceae(99.3),Tumebacillus(99.3)
OTU_38,Bacteria(100.0),Actinobacteria(100.0),Actinobacteria(93.4),Solirubrobacterales(88.8),Conexibacteraceae(63.0),Conexibacter(51.2)
OTU_40,Bacteria(100.0),Proteobacteria(100.0),Gammaproteobacteria(100.0),Pseudomonadales(99.4),Pseudomonadaceae(99.4),Pseudomonas(99.1)
OTU_41,Bacteria(100.0),Spirochaetes(72.3),Spirochaetes(41.7),Spirochaetales(41.7),Leptospiraceae(41.0),Leptospira(41.0)
OTU_47,Bacteria(100.0),Firmicutes(100.0),Bacilli(98.6),Bacillales(98.6),Paenibacillaceae_1(98.6),Paenibacillus(95.9)
OTU_44,Bacteria(100.0),Firmicutes(100.0),Bacilli(90.2),Bacillales(84.9),Alicyclobacillaceae(69.0),Alicyclobacillus(54.0)
OTU_43,Bacteria(100.0),Proteobacteria(100.0),Deltaproteobacteria(100.0),Desulfuromonadales(100.0),Geobacteraceae(99.4),Geobacter(99.4)
OTU_46,Archaea(100.0),Crenarchaeota(56.9),Thermoprotei(33.6),Desulfurococcales(33.6),Desulfurococcaceae(33.6),Staphylothermus(33.6)
OTU_42,Bacteria(100.0),Chloroflexi.ph(95.2),Thermomicrobia(67.3),Sphaerobacterales(55.8),Sphaerobacteraceae(44.1),Sphaerobacter(44.1)
OTU_48,Bacteria(100.0),Bacteroidetes(99.9),Sphingobacteria(84.2),Sphingobacteriales(68.8),Cytophagaceae(48.1),Cytophaga(45.5)
OTU_54,Bacteria(100.0),Proteobacteria(100.0),Alphaproteobacteria(98.7),Rhizobiales(98.7),Bradyrhizobiaceae(98.3),Bradyrhizobium(97.1)
OTU_45,Bacteria(100.0),Proteobacteria(100.0),Deltaproteobacteria(99.6),Desulfuromonadales(99.4),Desulfuromonadaceae(96.7),Pelobacter(93.2)
OTU_53,Bacteria(100.0),Proteobacteria(100.0),Alphaproteobacteria(99.6),Caulobacterales(99.5),Caulobacteraceae(99.5),Phenylobacterium(99.2)
OTU_51,Bacteria(100.0),Proteobacteria(100.0),Betaproteobacteria(98.4),Burkholderiales(98.4),Burkholderiales_incertae_sedis(97.9),Paucibacter(97.1)
OTU_49,Bacteria(100.0),Verrucomicrobia(68.9),Opitutae(41.7),Opitutales(41.7),Opitutaceae(41.0),Alterococcus(41.0)
OTU_55,Bacteria(100.0),Proteobacteria(100.0),Betaproteobacteria(98.3),Burkholderiales(96.8),Burkholderiaceae(94.6),Ralstonia(83.4)
OTU_57,Bacteria(100.0),Proteobacteria(100.0),Deltaproteobacteria(98.9),Myxococcales(98.9),Cystobacteraceae(95.2),Anaeromyxobacter(86.9)
OTU_52,Bacteria(100.0),Firmicutes(48.3),Bacilli(31.1),Bacillales(31.1),Bacillaceae_1(31.1),Bacillus(31.1)
OTU_50,Bacteria(100.0),Firmicutes(72.3),Clostridia(45.8),Clostridiales(45.8),Incertae_Sedis_IV(41.3),Caldicoprobacter(41.3)
OTU_60,Bacteria(100.0),Proteobacteria(100.0),Alphaproteobacteria(99.4),Rhizobiales(99.4),Hyphomicrobiaceae(98.8),Hyphomicrobium(98.8)
OTU_62,Bacteria(100.0),Verrucomicrobia(99.5),Verrucomicrobiae(66.1),Verrucomicrobiales(55.0),Verrucomicrobiaceae(43.6),Prosthecobacter(43.6)
OTU_56,Bacteria(100.0),Actinobacteria(100.0),Actinobacteria(97.1),Solirubrobacterales(97.1),Conexibacteraceae(89.4),Conexibacter(70.9)
OTU_63,Bacteria(100.0),Planctomycetes(99.6),Planctomycetacia(82.2),Planctomycetales(65.5),Planctomycetaceae(51.6),Planctomyces(45.4)
OTU_69,Bacteria(100.0),Proteobacteria(100.0),Alphaproteobacteria(97.1),Rhizobiales(97.1),Bradyrhizobiaceae(94.9),Nitrobacter(85.8)
OTU_59,Bacteria(100.0),Proteobacteria(90.6),Alphaproteobacteria(64.6),Rhizobiales(49.2),Rhodobiaceae(41.0),Anderseniella(41.0)
OTU_70,Bacteria(100.0),Planctomycetes(100.0),Planctomycetacia(98.5),Planctomycetales(98.5),Planctomycetaceae(98.5),Gemmata(97.1)
OTU_61,Bacteria(100.0),Planctomycetes(100.0),Planctomycetacia(99.2),Planctomycetales(99.2),Planctomycetaceae(99.2),Gemmata(96.3)
OTU_58,Bacteria(100.0),Tenericutes(43.9),Mollicutes(29.5),Mycoplasmatales(29.5),Mycoplasmataceae(29.5),Mycoplasma(29.5)
OTU_68,Bacteria(100.0),Proteobacteria(100.0),Alphaproteobacteria(94.5),Rhodospirillales(92.8),Rhodospirillaceae(85.3),Skermanella(54.0)
OTU_75,Bacteria(100.0),Planctomycetes(97.6),Planctomycetacia(69.5),Planctomycetales(57.7),Planctomycetaceae(45.2),Blastopirellula(45.1)
OTU_67,Bacteria(100.0),Firmicutes(100.0),Clostridia(98.2),Clostridiales(98.2),Clostridiaceae_1(98.2),Fervidicella(86.9)
OTU_66,Bacteria(100.0),Firmicutes(99.2),Bacilli(75.6),Bacillales(61.3),Pasteuriaceae(48.1),Pasteuria(45.8)
OTU_73,Bacteria(100.0),Proteobacteria(100.0),Betaproteobacteria(99.6),Rhodocyclales(99.3),Rhodocyclaceae(99.3),Azoarcus(99.2)
OTU_65,Bacteria(100.0),Proteobacteria(41.6),Gammaproteobacteria(28.4),Xanthomonadales(28.4),Xanthomonadaceae(28.4),Pseudoxanthomonas(28.4)
OTU_71,Bacteria(100.0),Gemmatimonadetes(100.0),Gemmatimonadetes(98.2),Gemmatimonadales(98.2),Gemmatimonadaceae(98.2),Gemmatimonas(98.2)
OTU_72,Bacteria(100.0),Firmicutes(44.6),Clostridia(30.0),Clostridiales(30.0),Clostridiales_Incertae_Sedis_XVII(30.0),Thermaerobacter(30.0)
