"","ET1","ET7","ET13","ET19","ET25","ET31","ET37","ET43","ET49","ET50","ET2","ET8","ET14","ET20","ET26","ET32","ET38","ET44","ET3","ET9","ET15","ET21","ET27","ET33","ET39","ET45","ET4","ET10","ET16","ET22","ET28","ET34","ET40","ET46","ET5","ET11","ET17","ET23","ET29","ET35","ET41","ET47","ET6","ET12","ET18","ET24","ET30","ET36","ET42","ET48"
"OTU_120",0,0,0,0,0,0,0,0,0,0,0,0,62,17,0,11,45,21,1,6,0,0,39,7,0,4,45,0,0,2,0,43,30,3,21,7,1,1,5,3,0,34,23,20,1,1,4,1,5,0
"OTU_119",0,0,0,0,2,0,0,0,0,0,0,6,0,0,1,0,0,0,36,30,4,26,7,31,0,7,20,7,4,10,17,12,9,0,4,2,8,2,4,26,14,24,88,22,8,1,4,14,11,4
"OTU_121",0,0,6,0,6,1,0,0,0,0,0,0,7,0,0,0,1,0,5,18,7,6,31,19,20,8,11,7,25,18,26,23,10,24,29,10,14,4,47,19,2,24,20,18,9,5,14,9,13,7
"OTU_118",0,68,0,0,2,2,10,201,3,9,4,6,12,9,5,17,11,2,7,3,7,0,3,7,2,2,4,0,4,3,3,6,0,7,9,2,3,1,7,3,1,1,6,6,2,0,6,0,1,2
"OTU_123",0,0,0,11,13,1,1,0,0,0,0,0,223,0,0,0,0,0,1,1,0,3,10,6,1,12,3,0,0,2,4,3,4,15,43,1,1,0,6,8,2,15,15,15,3,0,12,2,0,0
"OTU_124",2,8,0,4,0,7,1,215,0,0,8,1,14,0,0,0,23,8,13,1,2,0,1,1,10,1,5,1,10,3,0,14,0,10,5,6,3,0,9,0,1,6,10,7,7,1,0,3,4,3
"OTU_122",0,400,0,0,0,0,1,0,21,0,0,2,0,1,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,3,0,2,0,0,1,0,0,1,1,0,1,3,0,1,0,0,0,0,0
"OTU_115",146,130,0,1,20,18,13,17,0,0,3,17,1,1,23,33,21,0,5,1,0,0,3,4,6,1,2,1,11,4,0,7,1,1,2,4,0,2,5,5,0,3,2,2,5,0,0,3,0,0
"OTU_36",309,85,202,32,98,7,1,198,77,7,24,100,1,9,25,63,0,3,11,48,15,18,73,74,20,69,70,13,46,13,28,254,70,51,75,14,49,15,21,156,53,136,67,61,33,9,28,48,24,14
"OTU_114",0,0,133,0,0,5,0,0,0,0,0,30,0,0,0,0,0,0,33,4,5,8,8,8,2,0,35,4,1,2,28,5,11,1,4,2,21,3,3,9,6,1,45,7,31,1,12,16,3,9
"OTU_117",1,0,0,0,0,0,3,0,1,69,0,9,0,0,12,0,0,9,5,14,8,3,23,32,19,17,17,1,29,8,14,12,32,18,52,16,22,11,25,14,4,18,29,13,24,1,3,4,5,9
"OTU_116",3,0,1,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,13,36,4,13,41,11,39,19,3,3,16,4,31,10,6,22,27,8,15,2,44,9,4,18,8,24,3,5,8,5,3,7
"OTU_133",0,0,0,0,0,0,0,0,3,0,4,6,16,13,17,16,31,8,25,11,13,8,11,16,11,3,18,4,11,1,15,23,12,12,7,7,10,2,15,11,0,15,16,2,1,1,2,2,2,3
"OTU_45",0,0,0,0,0,0,0,0,0,0,45,6,320,0,0,0,121,1,33,27,7,5,25,16,220,1,4,2,15,24,41,5,58,113,47,183,10,34,200,12,5,38,31,38,51,15,8,20,48,74
"OTU_134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,9,4,8,23,4,2,29,3,16,31,2,67,37,4,42,5,19,13,6,23,3,17,8,2,13,5,2,4
"OTU_132",0,0,0,0,0,0,0,0,0,0,22,0,0,0,76,0,0,0,2,22,17,36,0,14,5,0,1,0,52,60,20,6,4,28,31,7,3,5,14,9,5,1,48,10,6,5,2,8,10,3
"OTU_137",0,14,0,6,1,1,11,0,14,4,1,1,6,2,0,1,2,7,10,3,5,0,11,14,4,5,16,2,14,5,8,10,11,14,29,9,5,7,27,17,3,16,15,42,13,3,16,7,5,4
"OTU_136",0,0,0,0,0,1,1,0,0,0,40,0,3,0,0,0,37,1,27,1,7,19,11,9,36,14,15,4,31,3,12,19,5,12,30,14,19,2,13,1,0,4,9,20,0,1,0,5,1,0
"OTU_138",0,0,0,37,0,0,0,0,0,1,4,5,0,24,91,32,159,33,5,0,4,0,1,1,2,2,3,0,4,2,1,5,3,5,4,3,1,2,3,0,0,4,10,0,5,0,0,1,0,2
"OTU_135",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,5,1,6,40,20,13,14,2,8,3,8,19,13,18,21,6,10,3,29,21,4,20,7,45,5,2,14,7,5,19
"OTU_127",0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,25,14,18,3,25,22,1,4,23,0,7,2,8,7,5,0,8,26,4,1,44,17,3,7,64,4,28,1,11,12,2,3
"OTU_126",30,26,29,1,16,9,17,6,34,10,0,0,5,4,1,12,6,2,0,3,43,0,7,7,4,6,1,0,0,2,63,1,3,0,0,2,6,0,3,9,0,0,34,1,12,0,0,3,2,3
"OTU_128",0,0,0,0,0,0,0,0,16,0,1,0,0,0,5,39,0,0,2,0,206,0,16,2,0,72,1,0,6,5,1,9,0,0,51,12,0,0,1,1,4,4,10,2,4,0,0,4,1,0
"OTU_125",0,1,0,0,0,0,0,5,1,0,50,0,88,0,0,0,20,1,26,0,13,15,16,9,27,3,1,2,16,3,19,7,3,20,11,9,18,1,19,0,0,5,9,12,6,0,1,4,13,0
"OTU_130",0,0,0,7,33,7,12,0,2,1,18,6,2,79,19,5,4,18,7,5,18,0,12,28,11,1,7,5,13,7,13,1,8,6,6,6,0,0,8,12,1,5,6,8,1,3,1,2,4,6
"OTU_131",0,0,0,0,0,0,0,0,1,0,0,2,5,2,37,11,19,11,2,11,6,2,2,4,1,5,12,0,2,1,6,1,16,12,42,11,2,11,18,26,12,17,16,38,12,5,12,8,10,23
"OTU_129",0,0,0,0,0,0,0,0,0,0,1,6,0,4,8,0,0,2,6,6,0,5,7,13,6,3,12,0,6,6,36,9,30,15,11,7,12,2,24,32,4,15,43,34,5,4,19,4,14,4
