"ET","Block","Treatment","Brich","Frich","FBrich","Bpos","Fpos","FBpos","Bneg","Fneg","FBneg","Blinks","Flinks","FBlinks","ALLlinks","pos.Blinks","pos.Flinks","pos.FBlinks","pos.ALLlinks","neg.Blinks","neg.Flinks","neg.FBlinks","neg.ALLlinks","Bcon","Fcon","FBcon","ALLcon","pos.Bcon","pos.Fcon","pos.FBcon","pos.ALLcon","neg.Bcon","neg.Fcon","neg.FBcon","neg.ALLcon","d.Bpos","d.Bneg","d.Bcon","d.pos.Bcon","d.neg.Bcon","d.Fpos","d.Fneg","d.Fcon","d.pos.Fcon","d.neg.Fcon","d.FBpos","d.FBneg","d.FBcon","d.pos.FBcon","d.neg.FBcon","d.ALLcon","d.pos.ALLcon","d.neg.ALLcon"
"ET1","a","I",157,24,-1.46228741787012,27,9,-1.48712406744326,55,6,-1.46602999225117,706,34,68.5,808.5,13,1,3,17,88,3,29,120,4.4968152866242,1.41666666666667,0.378453038674033,4.46685082872928,0.0828025477707006,0.0416666666666667,0.0165745856353591,0.0939226519337017,0.560509554140127,0.125,0.160220994475138,0.662983425414365,163.154443370837,93.3439844774337,8.2305964880944,0.434478959179498,0.390232654554814,27.2931399616338,11.8845958198326,1.96654804124488,0.673160596438639,0.0832711340268597,-0.125770387984063,-0.794450602301377,0.63443076670556,0.0912891193237987,0.120284653934894,8.25440901400932,0.596099743318675,0.444606925909574
"ET2","a","II",426,76,0.0209288673757231,98,32,-0.262517804240825,114,17,0.634091820630922,3115,131,320.5,3566.5,153,52,24,229,239,13,42,294,7.31220657276995,1.72368421052632,0.638446215139442,7.10458167330677,0.359154929577465,0.684210526315789,0.047808764940239,0.456175298804781,0.561032863849765,0.171052631578947,0.0836653386454183,0.585657370517928,147.248726621703,127.869487931236,8.66276087789553,0.486360586741372,0.49944162767668,24.1744338110309,14.4826468184242,1.4884521452894,0.414065676622014,0.188903695056749,-0.60581031519152,1.12189121127062,0.52664248124797,0.0176255162032677,0.0708169091977065,8.48904279595753,0.468636721062083,0.558107858489671
"ET3","a","III",779,91,0.949233605059098,211,40,0.647165295545146,134,22,1.47398101577603,7818,189,733.5,8740.5,477,63,70,610,239,16,48,303,10.0359435173299,2.07692307692308,0.843103448275862,10.0465517241379,0.612323491655969,0.692307692307692,0.0804597701149425,0.701149425287356,0.306803594351733,0.175824175824176,0.0551724137931034,0.348275862068965,146.205165237151,115.752397668009,8.2590662447244,0.44496343785911,0.38783703916198,24.6401916522032,17.0590076834025,1.61521598097026,0.162074733152643,0.210861757412826,-0.573171269240886,1.50704081716418,0.62711250082678,0.0185453225689277,0.0749136280771361,8.25074245999605,0.384217740545727,0.475900131589054
"ET4","a","IV",836,73,0.708596818662838,273,35,0.8051359284654,112,17,0.600443076155873,8995,155,656.5,9806.5,812,64,122,998,176,6,37,219,10.7595693779904,2.12328767123288,0.722222222222222,10.7882288228823,0.971291866028708,0.876712328767123,0.134213421342134,1.0979097909791,0.210526315789474,0.0821917808219178,0.0407040704070407,0.240924092409241,189.790199234546,88.5663519314545,8.47769607158699,0.756367377317505,0.314589808237255,28.6812822427965,14.9673746454285,1.93335061213914,0.658585100965602,0.0966055406775496,0.243418608911836,0.203982525598836,0.634577840653471,0.107807274585268,0.0645733489256893,8.46862485761558,0.84795091997308,0.357069749126318
"ET5","a","V",985,75,1.01760034205899,304,35,0.974954587684108,133,10,0.248992442591404,11863,150,793,12806,942,67,169,1178,201,4,26,231,12.043654822335,2,0.74811320754717,12.0811320754717,0.956345177664975,0.893333333333333,0.159433962264151,1.11132075471698,0.204060913705584,0.0533333333333333,0.0245283018867925,0.217924528301887,172.652831964579,96.0098464095828,8.4417041644247,0.617085587160133,0.368325758749729,27.6767166216194,7.64422276075894,1.77986627014415,0.640527690936975,0.0700386289370783,-0.00373799598266882,-0.906864252643716,0.647281761215476,0.128252085175272,0.0619129714567221,8.41697018268493,0.747811919087956,0.391819539191993
"ET6","a","VI",863,40,0.126599186218833,295,25,0.56231902526371,126,8,-0.0701388632291149,9231,73,413.5,9717.5,900,44,149,1093,230,4,22,256,10.6964078794902,1.825,0.457918050941307,10.7613510520487,1.04287369640788,1.1,0.16500553709856,1.21040974529347,0.266512166859791,0.1,0.0243632336655592,0.283499446290144,203.067320601733,100.109803950981,8.17532592549821,0.805418685895144,0.381484629241142,35.2566149922175,11.2993807424762,2.13330800848125,1.45406661301328,0.0766034200117647,0.940653820695882,-0.144228772221305,0.605040026431005,0.204112232629253,0.0488285911519255,8.18133036632384,1.13617478620763,0.350424597529699
"ET7","b","I",220,69,-0.48726830100912,58,27,-0.66330534036277,62,13,-0.64349693603603,1152,137,174.5,1463.5,59,36,14,109,86,9,15,110,5.23636363636364,1.98550724637681,0.603806228373702,5.06401384083045,0.268181818181818,0.521739130434783,0.0484429065743945,0.377162629757785,0.390909090909091,0.130434782608696,0.0519031141868512,0.380622837370242,173.801059894274,94.6120391896624,8.41199132679402,0.567287012053707,0.246086454502107,22.6904134851505,11.6136784147676,1.85596352880732,0.372968731822934,0.140265470968101,-0.432466962008656,-0.733855932976547,0.54033795873541,0.0332881493508449,0.0201337610926555,8.30526500350806,0.571530185839788,0.265655727964541
"ET8","b","II",303,74,-0.240828398489384,90,34,-0.233675300154918,86,16,0.0623290479013229,1885,135,260.5,2280.5,148,41,29,218,147,13,29,189,6.22112211221122,1.82432432432432,0.690981432360743,6.04907161803713,0.488448844884488,0.554054054054054,0.0769230769230769,0.578249336870027,0.485148514851485,0.175675675675676,0.0769230769230769,0.50132625994695,178.98628483785,111.06042873117,8.66140470079549,0.718293545810929,0.37386086009214,27.178999432208,13.8057987030937,1.61928892984953,0.318587618955114,0.191235203405364,-0.0502390475930437,0.326286289713994,0.592544475362656,0.0513765706231444,0.0528982629878178,8.54329437545477,0.686500066694072,0.425480115450677
"ET9","b","III",813,54,0.303463869936937,250,24,0.279474731229896,124,15,0.600974842848312,8556,93,498,9147,730,18,77,825,181,9,39,229,10.5239852398524,1.72222222222222,0.57439446366782,10.5501730103806,0.897908979089791,0.333333333333333,0.0888119953863899,0.951557093425606,0.222632226322263,0.166666666666667,0.0449826989619377,0.264129181084198,174.220799551387,102.658966877784,8.44588226287619,0.702177157098411,0.317402892530338,27.2246556439783,16.0373175497893,1.81915353536863,0.444651044182758,0.159310836915223,0.00494917886049799,0.865733974510128,0.621652164333276,0.100331415870153,0.0657275563395411,8.42872175429305,0.829103080536299,0.337921933704918
"ET10","b","IV",421,53,-0.427987382765202,168,23,-0.206056349613343,73,8,-0.96183059181789,2973,102,261.5,3336.5,423,31,44,498,89,3,8,100,7.06175771971496,1.92452830188679,0.55168776371308,7.03902953586498,1.00475059382423,0.584905660377358,0.0928270042194093,1.05063291139241,0.211401425178147,0.0566037735849057,0.0168776371308017,0.210970464135021,218.864074516668,87.324404223916,8.4566099225421,1.13612856984027,0.147790009387734,26.7269384545668,9.19889349212405,2.03655795041426,0.713562578524202,0.0481021759594058,0.412983336144581,-1.32290792043833,0.60334443516709,0.108431545894337,0.00230193036793885,8.45708120311947,1.20183882755937,0.140456265002219
