"ET","Block","Treatment","Decom","N2O","grNt","herbNt","legNt","grPt","herbPt","legPt","Pleach","Nleach","aveMF","pcaMF"
"ET1","a","I",56.97338251,8.638882166,0.414904653,0.034922709,0.008781688,0.041969221,0.003180816,0,0.312,25.25,-0.79647591971944,-1.65910828403987
"ET2","a","II",71.01564324,3.960194472,0.668434789,0.019925042,0.00693308,0.056425512,0.001292886,0,0.523,52.93,-0.589149106196038,-1.93273667101799
"ET3","a","III",79.07232057,2.272215287,0.386498009,0.114704321,0.013910733,0.02122345,0.013080474,0,0.027,68.39,-0.340801929287283,-0.224879001072266
"ET4","a","IV",84.23250456,0,0.396735854,0.135608771,0.036336672,0.026222418,0.013260975,0.00364176,0.157,37.5,0.0323116715157328,0.285132074151972
"ET5","a","V",88.30504639,1.217577052,0.328426862,0.157568798,0.06221138,0.045168821,0.03017554,0.00757394,0.137,33.26,0.385799603998244,1.06310862451262
"ET6","a","VI",95.4098989,0,0.405104292,0.143216054,0.08176042,0.051323138,0.026504532,0.012694381,0.092,28.13,0.772896171237955,1.52159796543039
"ET7","b","I",63.14277506,1.814870579,0.521107904,0.066695304,0.018374673,0.04360288,0.004912544,0.000292509,0.134,39.7,-0.355707727215,-1.04481858476848
"ET8","b","II",55.64227948,0.790141662,0.504861652,0.083946512,0.012064518,0.053780928,0.010190258,0,0.16,25.78,-0.261606044880565,-1.00635527508831
"ET9","b","III",77.81285747,0.209811628,0.413412809,0.114241,0.018277864,0.030966336,0.01554671,0.001763208,0.071,11.6,0.0282092007948999,-0.0305345835084525
"ET10","b","IV",80.84186248,0.372750445,0.328834955,0.22147752,0.002643648,0.024658519,0.021117624,0,0.004,71.56,-0.0585981357434917,0.485513054692984
"ET11","b","V",79.02584493,0.750522977,0.323114018,0.160607496,0.065390284,0.035385028,0.025262304,0.008956929,0.031,107.51,0.117365374470306,1.13502682982624
"ET12","b","VI",79.86515772,0.281236863,0.311212094,0.28319469,0.150199236,0.03500262,0.038052758,0.016818318,0.072,94.15,0.794054368043018,2.793391273702
"ET13","c","I",62.45425383,0.796837777,0.468024095,0.0623511,0.012735383,0.04554803,0.005997582,0.0004068,0.423,13.5,-0.46611725888443,-1.27485176520119
"ET14","c","II",71.17925458,1.080306679,0.739750887,0.062070152,0.011424464,0.071033952,0.00651189,0,0.132,8.76,0.142676062407848,-1.20331075000735
"ET15","c","III",76.02394033,2.904998227,0.484433936,0.041637526,0.004723106,0.030148326,0.004317742,0,0.143,51.03,-0.490966504250604,-1.04545958763255
"ET16","c","IV",79.00856242,4.719087593,0.441316368,0.141140964,0.009044343,0.032782751,0.017451464,0.000408177,0.02,183.62,-0.550584571269512,-0.159756455689451
"ET17","c","V",80.73959214,3.990326993,0.33048596,0.224085002,0.079807056,0.03335387,0.035165259,0.01007216,0.205,58.66,0.258536631654709,1.33301505618186
"ET18","c","VI",79.04743238,0.204231531,0.26275202,0.169853503,0.101475328,0.048738354,0.036164015,0.014232576,0.073,0.4,0.766532393086863,1.89476086515283
"ET19","d","I",69.92638371,-0.084259903,0.471764452,0.048490302,0.011521555,0.057872736,0.003840816,0.00030291,0.073,0.14,-0.0111193956477726,-0.803860767231844
"ET20","d","II",63.11412732,22.35721456,0.772683215,0.015703104,0.006896445,0.070101658,0.002251548,0,0.058,4.05,-0.228287745890924,-1.97673477294929
"ET21","d","III",76.87021852,3.55173141,0.501901753,0.044928912,0.011588634,0.02879649,0.005858369,0,0.134,62.93,-0.489446802439206,-0.9695249120013
"ET22","d","IV",77.91737248,0.340943895,0.498490365,0.208648974,0.021369735,0.02961367,0.021155335,0.0012135,0.126,73.35,0.0265173660683537,0.269184773871215
"ET23","d","V",80.91772885,0,0.460218011,0.144260697,0.06256985,0.034925451,0.025585043,0.006889134,0.082,23.58,0.424147294374638,0.8473678457314
"ET24","d","VI",78.42382589,1.881608533,0.282464734,0.222323192,0.088410354,0.037797513,0.036733934,0.011373794,0.107,11.12,0.547928686187251,1.66214204773018
"ET25","e","I",64.02087588,37.593668,0.552864427,0.079033878,0.017733954,0.048548956,0.008302371,0.00045866,0.684,14.08,-0.830559186649958,-2.01570472908002
"ET26","e","II",62.03979394,17.74359079,0.682257858,0.045333405,0.01388004,0.062764289,0.006670359,0,0.169,7.77,-0.311853184321004,-1.72647301882454
"ET27","e","III",76.13216806,1.185770502,0.388002708,0.161789238,0.030106017,0.040809839,0.023968776,0.002220192,0.087,0.37,0.183030733513111,0.264768547539144
"ET28","e","IV",82.2536284,1.383305917,0.387911977,0.11400015,0.029707831,0.027471855,0.01533312,0.002165807,0.062,20.04,-0.0242777613685285,0.0585542086895723
"ET29","e","V",80.76207735,1.275052046,0.374578021,0.242603373,0.083908678,0.035670068,0.033146176,0.01114946,0.102,38.76,0.553675814144046,1.61842310298454
"ET30","e","VI",82.48686515,3.767681143,0.204101516,0.225794646,0.109097586,0.031177348,0.04053609,0.013833833,0.083,72.34,0.415724950187163,2.14187934924126
"ET31","f","I",66.26931365,8.985629362,0.584164405,0.069126745,0.01737552,0.055265968,0.00529728,0.00062836,0.427,0.01,-0.422612954706506,-1.61340306039372
