"","OTU_1","OTU_6","OTU_3","OTU_9","OTU_5","OTU_4","OTU_2","OTU_17","OTU_29","OTU_24","OTU_32","OTU_31","OTU_33","OTU_15","OTU_22","OTU_21","OTU_66","OTU_68","OTU_46","OTU_55","OTU_60","OTU_16","OTU_65","OTU_83","OTU_85","OTU_69","OTU_57","OTU_58","OTU_56","OTU_59","OTU_50","OTU_147","OTU_62","OTU_80","OTU_96","OTU_142","OTU_148","OTU_103","OTU_157","OTU_160","OTU_116","OTU_61","OTU_145","OTU_120","OTU_133","OTU_95","OTU_122","OTU_101","OTU_129","OTU_126","OTU_109","OTU_98","OTU_137","OTU_134","OTU_135","OTU_250","OTU_216","OTU_141","OTU_233","OTU_246","OTU_191","OTU_249","OTU_280","OTU_262","OTU_92","OTU_165","OTU_212","OTU_218","OTU_190","OTU_234","OTU_206","OTU_228","OTU_236","OTU_231","OTU_70","OTU_172","OTU_331","OTU_201","OTU_196","OTU_265","OTU_223","OTU_271","OTU_312","OTU_252","OTU_316","OTU_84","OTU_279","OTU_209","OTU_200","OTU_158","OTU_176","OTU_152","OTU_178","OTU_173","OTU_118","OTU_167","OTU_130","OTU_153","OTU_205","OTU_183","OTU_177","OTU_220","OTU_168","OTU_163","OTU_169","OTU_97","OTU_198","OTU_174","OTU_154","OTU_100","OTU_102","OTU_91","OTU_82","OTU_105","OTU_104","OTU_76","OTU_48","OTU_37","OTU_78","OTU_40","OTU_49","OTU_77","OTU_108","OTU_119","OTU_115","OTU_88","OTU_125","OTU_45","OTU_71","OTU_110","OTU_94","OTU_30","OTU_90","OTU_112","OTU_111","OTU_75","OTU_23","OTU_11","OTU_28","OTU_35","OTU_51","OTU_47","OTU_34","OTU_52","OTU_8","OTU_14","OTU_12","OTU_10","OTU_18","OTU_20","OTU_13","OTU_19","OTU_42","OTU_73","OTU_63","OTU_81","OTU_79","OTU_217","OTU_195","OTU_156","OTU_162","OTU_184","OTU_107","OTU_131","OTU_127","OTU_124","OTU_53"
"Decom",-0.270400234750611,NA,NA,NA,NA,NA,-0.0494007255871904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11520219398264,NA,NA,NA,NA,NA,NA,NA,NA,-0.222493755379107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000135033550751812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.107057187065084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N2O",0.00107280531210441,NA,NA,NA,NA,NA,0.0121919761151502,NA,NA,NA,NA,NA,NA,NA,-0.000458811315443769,NA,NA,NA,NA,-0.00108241429041741,NA,0.0122503799216367,NA,NA,NA,NA,NA,-0.00144337582652275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00631434426688548,NA,NA,NA,NA,NA,NA,NA,NA,-0.00259616486682682,NA,NA,NA,NA,NA,NA,-0.00621102231083252,NA,-0.00352430713053792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0140254522333211,0.00807401627504304,0.00379706104997436,NA,NA,NA,0.0112579818105747,-0.00552858240754758,NA,-0.00161252099464682,NA,NA,-0.00505496427991128,0.0147232417404716,NA,0.0111772331662143,NA,NA,NA,-0.00574166820166683,NA
"Pleach",0.0517409558215354,NA,NA,NA,NA,NA,0.011964793614405,NA,NA,0.0214227836765808,0.0467376923167517,0.0769702270128173,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.146802152897165,-0.00952779460632961,0.14986893218207,NA,NA,NA,NA,NA,0.107909199469424,NA,0.00928647304601539,NA,NA,-0.0344423295282535,NA,-0.000707898361942953,NA,NA,NA,NA,NA,NA,NA,0.0447900912484698,-0.00354159999437981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.183374991873425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00411900641683553,NA,NA,NA,NA,-0.0161521786388105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.031958778446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0250241206712807,-0.063373995457026,-0.0107344006925907,NA,NA,NA,NA,0.0449624685996285,NA,NA,NA,NA,NA,NA,NA,0.140431345153127,NA,0.089434706632584,NA,NA,NA,NA,NA
"Nleach",NA,NA,NA,NA,NA,NA,-0.052329999348883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.141120156342248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0917581403722598,NA,NA,NA,NA,0.0870362778533083,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10902841070302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19023228331074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"legNt",-0.00466696142833083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00954745052519551,NA,NA,NA,NA,NA,0.026205959189645,NA,NA,NA,0.0148511408717248,0.00132019677800079,NA,NA,NA,NA,NA,NA,NA,NA,0.0108311252168404,0.0129123944232053,NA,0.0033247494027499,0.00673496261751026,NA,NA,0.00569487269662325,NA,0.0286132816424822,NA,NA,0.00270490680669235,NA,NA,NA,0.00127452421542476,0.011094785210099,NA,0.00517680546490946,0.0219600767738407,NA,NA,NA,0.00916552630114489,NA,NA,NA,0.011794888413808,NA,NA,NA,0.00219020680168129,NA,0.0136617229461171,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00966724434831766,0.0038673628300777,0.000647656109881146,NA,NA,0.0122702138914223,NA,NA,NA,0.00524203462382713,NA,0.00289472252246337,0.00478447810577548,NA,0.00857676417601681,0.00464326734471221,0.00306396627694033,NA,NA,NA,NA,0.00624105884680013,NA,NA,NA,0.00518968370879179,NA,NA,0.0234525915066969,0.0208921339573677,NA,NA,NA,0.0182220839853006,0.00999564180173784,NA,NA,NA,NA,0.00168893059478574,NA,NA,0.0183955049354906,0.00713254081911705,NA,NA,NA,0.00753357030201671,0.0201808215934907,NA,0.00303582165216088,NA,0.0121038957304486,0.0127515232263949,0.0158073671440845,0.0285645502483589,0.00462672110200935,NA,NA,0.00462228277113358,NA,NA,NA,NA,NA,0.00306748404174177,0.0208781874209994,NA,NA,0.00543564606822984,NA,NA,NA,NA,NA,0.0086551938194296,NA,NA,NA,NA,NA,NA,NA,0.00372937120514385,NA,NA,NA
"grNt",0.104850907165899,NA,NA,NA,NA,NA,NA,NA,NA,0.151039842404454,NA,0.0344132245364242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0437104310365128,NA,NA,NA,-0.0315162705129456,NA,NA,NA,NA,0.196225428885004,NA,NA,-0.00697346282191475,NA,NA,NA,NA,NA,NA,NA,NA,-0.0205361085753823,0.155345425188455,-0.0471742186465277,NA,NA,NA,0.0824212857585475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0500064977148922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0175002825533804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0376965098799321,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0421644771210492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.120648795622168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"herbNt",-0.0849752896939569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125235948370551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.312275301325126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0985439339912691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11083077404254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"legPt",-0.00484355731795397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00552454334412579,NA,NA,NA,NA,NA,0.0260278993712023,NA,NA,NA,0.0125909130902296,0.00351307017925413,NA,NA,NA,NA,NA,NA,NA,NA,0.00835910623391368,0.0113079868595492,NA,0.0012604213841577,0.00715362834349753,NA,NA,0.00193399434599767,NA,0.0272876920040957,NA,NA,0.00376868940690982,NA,NA,NA,NA,0.0148277234599364,NA,0.00692048642854889,0.0193911282920033,NA,NA,NA,0.00841466332874258,NA,NA,NA,0.00900357382442433,NA,NA,NA,0.00193412313866533,NA,0.0108284311057535,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00974708028696213,0.00422753938865483,0.0043176273816733,NA,NA,0.0106740436013661,NA,NA,NA,0.00618029428927309,NA,0.00298556278389368,0.00631441132893895,NA,0.0082759111564035,0.00472191037637926,0.00943456859330717,NA,NA,NA,NA,0.00606856961520491,NA,NA,NA,0.00267686765241802,NA,NA,0.0219193796575376,0.0223199789310082,NA,NA,NA,0.0143906412233671,0.0126322946938301,NA,NA,NA,NA,0.00291882351562207,NA,NA,0.0164102235475418,0.0075720443261414,NA,NA,NA,0.00592041392087169,0.0170064291470321,NA,0.007273164373959,NA,0.0119774616998945,0.0130900733751914,0.0148693935487975,0.0257923482005647,0.00571255133278145,NA,NA,0.00260369912803647,0.0230166183106974,NA,NA,NA,NA,0.00556146085339715,0.0168736463026939,NA,NA,0.00653209331490117,NA,NA,NA,NA,NA,0.0120617875297241,NA,NA,NA,NA,NA,NA,NA,0.00272559541190859,NA,NA,NA
"grPt",0.0660584542155176,NA,NA,NA,NA,NA,0.0645701818665027,NA,NA,0.23350642435321,0.00353357078841582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.423574056566556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0345255289480521,NA,NA,NA,NA,0.266755294666608,NA,NA,NA,NA,0.0425663421082998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00782108809994191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0277960817929336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00103402826080358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"herbPt",-0.0289784034410418,NA,NA,NA,NA,NA,NA,NA,NA,-0.0023543795387911,NA,NA,NA,NA,NA,NA,0.00587941178565481,NA,NA,NA,NA,NA,0.0256211254515853,NA,NA,NA,0.00831576495524388,0.0151691034707216,NA,NA,NA,NA,NA,NA,NA,NA,0.00721705636661583,0.00127665527488873,NA,0.0146953663666409,0.00672709967377215,NA,NA,0.00569327549784739,-0.00147813964728357,0.053588882299624,NA,NA,NA,NA,NA,NA,0.00761643224572505,0.022364103584592,NA,0.00201881764498037,0.0182466111794034,NA,NA,NA,0.00198943874570107,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0133305003277516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010129779639355,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00452311969857805,0.0106512626657399,NA,NA,NA,NA,NA,NA,0.00660926149310857,NA,0.0135908471683941,NA,NA,NA,NA,NA,NA,0.0268528442053577,0.0170742887409097,NA,NA,NA,0.0244029510808235,0.00674313226353406,NA,NA,NA,NA,0.0011207537558537,NA,NA,0.0134482898992488,0.0116218006455738,NA,NA,NA,NA,0.00978899284598985,NA,0.000330518675294164,NA,0.0130208686327121,0.0222568767025926,0.0118871579720829,0.0357785241954202,0.00920897593895943,NA,NA,NA,NA,NA,NA,NA,NA,0.0110590867236609,0.039949990500237,NA,NA,NA,NA,NA,NA,NA,NA,0.00572352541761985,NA,NA,NA,NA,-0.00287658711048441,NA,NA,NA,NA,NA,NA
