OTU,Kingdom,Phylum,Class,Order,Family,Genus
OTU_4,Fungi(100.0),Ascomycota(100.0),Pezizomycetes(99.3),Pezizales(98.5),Pyronemataceae(96.1),Pseudaleuria(83.1)
OTU_3,Fungi(100.0),Basidiomycota(100.0),Tremellomycetes(99.9),Trichosporonales(99.8),Trichosporonaceae(99.6),Trichosporon(98.0)
OTU_6,Fungi(100.0),Ascomycota(100.0),Sordariomycetes(96.0),Hypocreales(84.7),Cordycipitaceae(68.6),Beauveria(58.3)
OTU_22,Fungi(100.0),Basidiomycota(52.9),Agaricomycetes(52.9),Agaricales(34.0),Entolomataceae(30.7),Entoloma(30.7)
OTU_21,Fungi(100.0),Basidiomycota(37.2),Agaricomycetes(37.2),Boletales(26.8),Boletaceae(26.8),Octaviania(26.8)
OTU_5,Fungi(100.0),Ascomycota(100.0),Sordariomycetes(94.5),Hypocreales(90.7),Bionectriaceae(74.2),Hydropisphaera(58.3)
OTU_25,Fungi(100.0),Basidiomycota(30.3),Agaricomycetes(30.3),Russulales(23.9),Russulaceae(23.9),Russula(23.9)
OTU_26,Fungi(100.0),Basidiomycota(30.3),Agaricomycetes(30.3),Cantharellales(23.9),Cantharellaceae(23.9),Craterellus(23.9)
OTU_10,Fungi(100.0),Basidiomycota(32.6),Agaricomycetes(32.6),Boletales(25.0),Paxillaceae(25.0),Melanogaster(25.0)
OTU_2,Fungi(100.0),Ascomycota(100.0),Dothideomycetes(99.8),Capnodiales(99.6),Davidiellaceae(99.2),Cladosporium(88.9)
OTU_23,Fungi(100.0),Ascomycota(100.0),Sordariomycetes(99.4),Sordariales(97.7),Chaetomiaceae(92.8),Chaetomium(75.1)
OTU_27,Fungi(100.0),Chytridiomycota(100.0),Chytridiomycetes(100.0),Spizellomycetales(100.0),Spizellomycetaceae(99.9),Spizellomyces(99.2)
OTU_24,Fungi(100.0),Ascomycota(100.0),Dothideomycetes(98.1),Pleosporales(97.1),Leptosphaeriaceae(87.9),Leptosphaeria(69.6)
OTU_33,Fungi(100.0),Ascomycota(100.0),Pezizomycetes(96.6),Pezizales(94.4),Pyronemataceae(85.3),Scutellinia(66.4)
OTU_31,Fungi(100.0),Ascomycota(100.0),Eurotiomycetes(99.7),Eurotiales(99.2),Trichocomaceae(96.2),Aspergillus(79.1)
OTU_13,Fungi(100.0),Ascomycota(100.0),Sordariomycetes(99.9),Microascales(99.9),Microascaceae(99.8),Scedosporium(90.8)
OTU_30,Fungi(100.0),Ascomycota(100.0),Saccharomycetes(98.0),Saccharomycetales(96.9),Pichiaceae(76.0),Pichia(61.9)
OTU_32,Fungi(100.0),Ascomycota(100.0),Dothideomycetes(99.6),Pleosporales(98.1),Pleosporaceae(94.3),Alternaria(73.5)
OTU_8,Fungi(100.0),Ascomycota(100.0),Sordariomycetes(99.6),Hypocreales(98.8),Nectriaceae(96.7),Haematonectria(78.5)
OTU_29,Fungi(100.0),Ascomycota(100.0),Pezizomycetes(99.8),Pezizales(99.6),Pyronemataceae(99.2),Scutellinia(88.5)
OTU_28,Fungi(100.0),Ascomycota(100.0),Sordariomycetes(99.8),Hypocreales(99.7),Bionectriaceae(99.0),Clonostachys(84.2)
OTU_34,Fungi(100.0),Basidiomycota(30.3),Agaricomycetes(30.3),Agaricales(23.9),Pleurotaceae(23.9),Pleurotus(23.9)
OTU_35,Fungi(100.0),Ascomycota(100.0),Sordariomycetes(99.7),Sordariales(99.1),Lasiosphaeriaceae(98.5),Podospora(93.3)
OTU_37,Fungi(100.0),Basidiomycota(30.8),Agaricomycetes(30.8),Sebacinales(25.0),Sebacinaceae(25.0),Sebacina(25.0)
OTU_42,Fungi(100.0),Ascomycota(100.0),Dothideomycetes(99.8),Pleosporales(99.4),Pleosporaceae(99.0),Alternaria(86.6)
OTU_39,Fungi(100.0),Basidiomycota(32.6),Agaricomycetes(32.6),Agaricales(25.0),Amanitaceae(25.0),Amanita(25.0)
OTU_40,Fungi(100.0),Chytridiomycota(52.9),Chytridiomycetes(52.9),Spizellomycetales(34.0),Spizellomycetaceae(32.7),Spizellomyces(32.7)
OTU_43,Fungi(100.0),Basidiomycota(37.2),Agaricomycetes(37.2),Polyporales(26.8),Meruliaceae(26.8),Hyphoderma(26.8)
OTU_44,Fungi(100.0),Basidiomycota(37.2),Agaricomycetes(37.2),Polyporales(25.0),Ganodermataceae(25.0),Ganoderma(25.0)
OTU_45,Fungi(100.0),Ascomycota(100.0),Sordariomycetes(99.8),Sordariales(99.7),Chaetomiaceae(98.5),Chaetomium(90.5)
OTU_49,Fungi(100.0),Chytridiomycota(100.0),Chytridiomycetes(99.9),Spizellomycetales(99.9),Spizellomycetaceae(99.9),Spizellomyces(98.8)
