"","ET1","ET7","ET13","ET19","ET25","ET31","ET37","ET43","ET49","ET50","ET2","ET8","ET14","ET20","ET26","ET32","ET38","ET44","ET3","ET9","ET15","ET21","ET27","ET33","ET39","ET45","ET4","ET10","ET16","ET22","ET28","ET34","ET40","ET46","ET5","ET11","ET17","ET23","ET29","ET35","ET41","ET47","ET6","ET12","ET18","ET24","ET30","ET36","ET42","ET48"
"OTU_1",2259,455,2233,478,4504,3975,8817,4286,444,950,8137,17312,6683,10721,10,7463,320,5,666,48,164,236,14,4,91,199,280,14,21,32,100,9,9,10,63,486,66,6,126,6,6,0,51,5078,66,60,421,3,1297,11
"OTU_6",1,4,1,745,0,2,0,32,25881,0,15,18,29,2,18,17,340,1,8,0,0,0,1,0,316,15,1,0,0,0,0,0,2,11,0,1,23,0,0,0,2,1,0,18,83,0,210,26,2145,0
"OTU_3",10,941,15,13,4,8,5,405,30,5,438,303,445,107,6,104,136,5,519,2291,1221,4022,2112,1133,421,308,10735,283,42,18,21,72,731,36,267,474,3611,74,865,90,61,18,32,1047,8,73,491,118,7577,24
"OTU_9",3,90,12,1007,0,0,0,297,11,1,151,123,115,22,4,378,708,3,1585,1044,1702,53,12,7,660,6396,165,32,35,358,2712,35,48,37,24,144,247,35,36,54,134,8,172,836,287,15,211,69,2560,9
"OTU_5",7,116,7,659,2,0,0,282,14,0,3755,70,71,47,2,291,485,5,7694,86,248,250,2495,393,216,4547,53,128,77,62,245,12,32,25,57,18,22,48,433,1758,379,4,169,1527,166,164,396,208,3628,13
"OTU_4",11,13202,48,13,2,27,6,2095,156,7,958,1026,2332,242,8,288,285,5,1018,6,13,11,2,15651,95,242,10556,1120,69,80,17,3205,1740,1743,171,2197,441,234,1179,5132,4346,17,13,7004,6,28,113,31,1828,14
"OTU_2",1171,299,2200,916,2373,4152,2752,3006,154,118,3162,1788,1181,1204,363,15400,259,4687,306,82,260,137,13,10,68,774,99,18,13,23,1,2,15,2,15,340,17,17,10,596,70,10,144,773,238,59,59,521,508,12
"OTU_17",2,834,3,5,0,1,2,310,33,0,125,179,242,39,3,28,32,0,257,3,0,16,21,2707,204,70,2864,3,19,1,0,2,0,1,1443,244,37,2,90,44,8,0,2,528,0,4,4,0,40,1
"OTU_29",0,0,0,0,0,0,0,298,8,0,0,0,0,0,0,9,35,7,0,0,0,0,8,0,1767,11,0,0,0,0,0,15,0,0,0,0,0,0,225,326,455,0,0,0,0,0,1,7,7,0
"OTU_24",0,61,2,0,0,0,2027,1070,102,0,2235,316,335,868,0,52,36,2,97,1,2,0,0,0,11,55,59,1,0,1,0,0,0,1,0,58,0,0,0,0,0,1,0,320,0,2,7,0,371,1
"OTU_27",0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3966,0
"OTU_32",0,0,0,0,0,2779,0,21,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,3
"OTU_31",0,9,52,1,60,2579,0,48,47,0,261,201,578,43,0,17,117,0,66,0,0,1,0,1,3,3,1,0,0,2,0,4,0,0,1,1,1,0,0,4,0,0,3,109,0,2,1,0,6,0
"OTU_33",0,68,0,35,1,0,0,30,8,0,8,11,18,1,0,14,60,0,813,1,63,692,712,0,91,531,62,3,10,23,138,27,23,93,28,131,111,16,30,768,88,6,0,55,10,4,8,3,56,0
"OTU_15",0,709,0,2,1,2,0,232,29,1,106,121,219,39,0,34,67,0,1390,1,50,397,166,2003,205,76,246,5,21,1,5,7,17,1,636,173,89,123,41,24,7,0,2,511,1,0,8,2,1538,0
"OTU_22",4,489,2,3,0,0,0,102,8,2,79,87,81,20,3,23,52,0,44,786,0,476,989,356,21,47,1467,7,128,671,239,219,1373,785,41,55,2,49,0,0,3,2,10,525,1,43,11,1,29,2
"OTU_21",1,7,1,153,0,2,1,9,0,0,10,10,10,2,0,34,4,0,137,3,65,0,20,15,8,72,7,4,22,8,4652,0,13,2,5,2,64,0,34,75,2,1,57,5,37,3,126,8,256,0
"OTU_66",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,38,0,0,7,1,486,1
"OTU_68",0,18,1,0,0,0,0,26,0,0,3,6,9,0,0,8,0,0,0,0,0,0,0,1,0,0,47,0,0,0,0,12,402,0,0,0,0,0,0,0,18,0,0,33,0,0,0,0,0,0
"OTU_46",1,1,0,0,0,0,0,39,0,0,8,16,2,0,0,35,41,0,890,1,3,333,38,1,45,170,1,150,24,1,0,0,0,13,10,4,0,0,186,4,1,1,0,36,0,7,4,5,9,1
"OTU_55",0,49,2,0,0,1,0,2,2,0,8,14,21,1,0,1,0,0,6,166,0,81,136,57,4,4,253,3,29,147,29,46,180,125,7,18,0,7,0,2,2,0,3,90,0,12,1,0,6,0
"OTU_60",0,44,0,0,0,0,0,0,0,0,4,11,1,1,0,0,0,0,0,0,0,0,0,2,0,0,30,0,4,1,0,27,145,0,0,26,1,0,0,13,21,211,0,20,0,0,22,18,126,7
