"","OTU_121","OTU_118","OTU_124","OTU_115","OTU_36","OTU_117","OTU_116","OTU_133","OTU_45","OTU_137","OTU_126","OTU_130","OTU_131","OTU_100","OTU_99","OTU_101","OTU_102","OTU_95","OTU_94","OTU_96","OTU_93","OTU_97","OTU_111","OTU_113","OTU_112","OTU_104","OTU_108","OTU_107","OTU_179","OTU_180","OTU_176","OTU_175","OTU_169","OTU_170","OTU_172","OTU_168","OTU_22","OTU_173","OTU_199","OTU_198","OTU_15","OTU_196","OTU_25","OTU_204","OTU_201","OTU_189","OTU_188","OTU_191","OTU_146","OTU_47","OTU_338","OTU_145","OTU_149","OTU_2","OTU_140","OTU_142","OTU_158","OTU_152","OTU_150","OTU_155","OTU_154","OTU_53","OTU_52","OTU_54","OTU_55","OTU_51","OTU_49","OTU_59","OTU_61","OTU_56","OTU_44","OTU_42","OTU_48","OTU_50","OTU_81","OTU_82","OTU_80","OTU_83","OTU_76","OTU_79","OTU_91","OTU_89","OTU_92","OTU_85","OTU_86","OTU_87","OTU_60","OTU_66","OTU_67","OTU_68","OTU_63","OTU_64","OTU_74","OTU_71","OTU_75","OTU_69","OTU_70","OTU_400","OTU_273","OTU_9","OTU_31","OTU_3","OTU_10","OTU_30","OTU_6","OTU_4","OTU_26","OTU_826","OTU_12","OTU_335","OTU_8","OTU_37","OTU_14","OTU_38","OTU_333","OTU_230","OTU_216","OTU_474","OTU_18","OTU_33","OTU_214","OTU_39","OTU_11","OTU_218","OTU_40","OTU_35","OTU_235","OTU_23","OTU_32","OTU_13","OTU_1","OTU_212","OTU_5","OTU_20","OTU_219","OTU_213","OTU_215","OTU_24","OTU_207","OTU_309","OTU_286","OTU_1062","OTU_323","OTU_261","OTU_255","OTU_7","OTU_17","OTU_275","OTU_276","OTU_320","OTU_210","OTU_208","OTU_248","OTU_345","OTU_27","OTU_28","OTU_29","OTU_21","OTU_34","OTU_19","OTU_16"
"OTU_121",0,0,0,0,0,0,0.3446348941056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125273331324429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137395137127706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137550990665167,0,0,0.0150581478586557,0,0.00651950538051532,0,0,0,0,0,0,-0.0602852860196527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_118",0,0,0.168120447123075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063052077951074,0,0,0,0,0,0.0733641459765542,0,0,0,0,0,0,0,0,0,0,0,0.042619807415984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0415995227979832,0,0,0,0,0,0,0,0,0,0,0.00608406365766911,0,0,0,0,0,0,0,0
"OTU_124",0,0.168120447123075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136530835111411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0372972903607395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269592429241875,0,0,0,0,0,0,0,0
"OTU_115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142880832804203,0,0,0,0,0,0,0,0,0,0,-0.085959199939945,0,0,0.0172642690223125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144956600738055,0,0,0,0,-0.0708265716394095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121720205506791,0,0,0,0,0,0,0,0,0,0.0944054774424922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140897745354085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0137721813209099,0,0,-0.0652375980429341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.126506941134755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11934833700939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_116",0.3446348941056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0431874046531933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0707576503671742,0,0,0,0,0,0,0,0,0
"OTU_133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00244678049073938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190034696014117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027367309049892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310963277773974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0350298145520163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00958564743535789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10646805439686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110853260515475,0,0,0,0,0,0,0,0,0,0,0,0,0.0524422377670004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0894411798081296,0,0,0,0,0,0,0,0,0,0,0,-0.00294552592752612,0,0,0.0465314745004483,0,0,0,0,0.0565322079298081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00883673789454048,0,0,0,0,0,0,0,0.0104419900173079,0,0,0,0,0.030064281937954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0475622035404707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080267365492226,0,0,0,0,0,0,0,0,0,0,0,0.0843641342270499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187911701430458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0752807041813177,0,0,0,0,0,0,0,0,0,0,0,0
